OTU	KW_Statistic	DF	P_value	Test	Taxonomy	p.value.fdr	p.value.hochberg	p.value.bonferonni
Zotu343	8.30835857845534	5	0.140040264097209	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales	0.472487123342141	0.472487123342141	1
Zotu344	10.860606060606	5	0.0542148833026182	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:A2,s:uncultured_bacterium	0.309358860471993	0.309358860471993	1
Zotu345	11.0349844719935	5	0.050690739661728	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.303838466729568	0.303838466729568	1
Zotu346	3.9034808667589	5	0.563394483165489	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae	0.74295147590977	0.74295147590977	1
Zotu347	6.53172349741275	5	0.25785930638203	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.592877285523162	0.592877285523162	1
Zotu348	1.30217911241029	5	0.934707290289352	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.954850892112458	0.954850892112458	1
Zotu349	11.5915110689644	5	0.0408346282157455	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:ASF356,s:uncultured_bacterium	0.291940454580877	0.291940454580877	1
Zotu35	13.7136543537996	5	0.0175343658131082	Kruskal-Wallis rank sum test	k:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Muribaculaceae	0.237352436051876	0.237352436051876	1
Zotu350	5.40607095818239	5	0.368355494279793	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.700595107702593	0.700595107702593	1
Zotu351	5.11698612029075	5	0.401770648475004	Kruskal-Wallis rank sum test	k:Bacteria,p:Tenericutes,c:Mollicutes,o:Mollicutes_RF39	0.700595107702593	0.700595107702593	1
Zotu352	13.3580289811147	5	0.0202449730647556	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae	0.242214649654295	0.242214649654295	1
Zotu353	10.1317210352764	5	0.0715878704750987	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:uncultured	0.35086894541499	0.35086894541499	1
Zotu354	8.95205844224096	5	0.110991732543945	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Clostridiales_vadinBB60_group	0.430615100974298	0.430615100974298	1
Zotu355	10.9228020014296	5	0.0529322591243418	Kruskal-Wallis rank sum test	k:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Muribaculaceae	0.307523515205322	0.307523515205322	1
Zotu356	16.9345437342621	5	0.00462562417504387	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Ruminococcaceae_UCG_013	0.183637279749242	0.183637279749242	1
Zotu357	2.58010789131788	5	0.764385276756829	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.845627716631415	0.845627716631415	1
Zotu358	11.7799048227703	5	0.0379312724356212	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.282818324456873	0.282818324456873	1
Zotu359	3.00608333934457	5	0.699047905575364	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.802860227136218	0.802860227136218	1
Zotu36	13.4183329372025	5	0.0197585437129899	Kruskal-Wallis rank sum test	k:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Bacteroidaceae,g:Bacteroides	0.241005139949677	0.241005139949677	1
Zotu360	11.5195748578214	5	0.0419978952331936	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales	0.293020831569044	0.293020831569044	1
Zotu361	15.0503756464045	5	0.0101492453614521	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae	0.217468403016493	0.217468403016493	1
Zotu362	9.61669479971431	5	0.0868537554350405	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae	0.381707832926691	0.381707832926691	1
Zotu363	8.53556825231931	5	0.129085410873849	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.456174253083741	0.456174253083741	1
Zotu364	4.89390206055357	5	0.428965400452526	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Ruminiclostridium,s:uncultured_bacterium	0.700595107702593	0.700595107702593	1
Zotu365	6.73485330390759	5	0.241118127017545	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.574343378555792	0.574343378555792	1
Zotu366	2.57812522386989	5	0.764686020832942	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.845627716631415	0.845627716631415	1
Zotu367	3.7006947861874	5	0.593260570598392	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales	0.746096747518839	0.746096747518839	1
Zotu368	9.28980367736225	5	0.0980483759733494	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.402674537187101	0.402674537187101	1
Zotu369	6.63463937558467	5	0.249261002150017	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.581218951531448	0.581218951531448	1
Zotu37	7.55648316192782	5	0.182432216512846	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Ruminococcaceae_UCG_003,s:uncultured_bacterium	0.523558481606746	0.523558481606746	1
