pathway	M100	M101	M102	M103	M104	M105	M106	M107	M108	M109	M10	M110	M111	M113	M114	M116	M117	M11	M12	M13	M14	M15	M16	M17	M18	M19	M1	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M2	M30	M31	M32	M33	M34	M35	M36	M37	M38	M39	M3	M40	M41	M42	M43	M44	M45	M46	M47	M48	M49	M4	M50	M51	M52	M53	M54	M55	M56	M57	M58	M59	M5	M60	M61	M62	M63	M64	M65	M66	M67	M68	M69	M6	M70	M71	M72	M73	M74	M75	M76	M77	M78	M79	M7	M80	M81	M82	M83	M84	M85	M86	M87	M88	M89	M8	M90	M91	M92	M93	M94	M95	M96	M97	M98	M99	M9
PWY-6901	4687.7427	5888.7147	26568.0089	18940.2146	14299.108	26501.089	27653.7971	40264.2838	20909.8357	22039.767	19560.9799	34071.729	20301.8937	10946.782	15107.411	31751.8364	22388.8668	28238.3079	16004.4501	11644.712	9141.9384	21722.3442	53341.0637	10403.4548	16692.6918	9634.7841	16695.8143	26361.1733	140.2849	24209.51	22199.3686	24778.2074	5975.6027	11082.6082	8776.3607	17432.812	9256.3519	12608.9892	153.2986	6498.5917	19964.908	12493.9035	12014.8653	10727.5904	5431.2032	21546.0531	20174.8575	19283.4525	20134.8642	18842.7564	4947.2952	11860.7319	9666.9994	9139.4159	20688.4954	6437.9222	15967.1016	21067.681	10096.7424	14429.998	12964.9124	26150.3683	11326.9216	33026.1437	9126.3412	54733.8271	75423.7287	11600.8794	23516.9089	14690.4241	7014.3801	8009.0155	13958.3723	10244.1813	12616.5639	49411.2105	20217.6421	10948.3148	19889.5942	10772.5159	16577.7826	14235.1348	30960.5555	71236.7709	18049.4859	48546.2198	17643.5085	29612.8573	40424.5551	16932.9115	44261.4967	37773.2825	17938.8012	90715.2938	49912.166	68848.7174	75153.5119	28832.8809	64980.0254	66704.1809	41860.4017	76309.8786	20361.5246	61928.873	23812.389	30081.4514	25450.9977	22137.4501	13681.669	31729.6793	27189.2577	16616.4856	13354.7911	14292.9873	12130.8331
PWY-6906	0.0	1.2498	527.4457	36.1038	1.6749	0.0	7.2102	121.4599	35.7061	0.0	62.4045	12.4976	0.0	0.0	0.0	46.6051	8.2844	26.8836	10.8218	7.4976	71.4447	11.4198	24.1676	58.1152	70.747	0.0	0.825	63.5775	0.0	3.3247	69.8515	46.5857	9.3994	10.4201	33.364	9.1732	3.3242	0.0	0.0	16.1369	80.184	0.0	69.2487	0.0	8.7436	36.8533	29.9733	8.7485	6.6736	14.0266	0.0	17.1316	4.9989	19.98	13.6323	1.6748	165.3059	6.6734	161.0136	11.8944	25.5136	29.1427	0.0	16.1685	86.1478	570.1392	29.4317	14.1025	8.9227	13.3193	14.1611	736.6991	0.825	94.4185	4.1739	25.3416	9.1529	2.4998	50.3787	3.3245	37.4496	29.9769	36.7978	76.3017	11.6704	82.4245	14.1652	90.9058	6.8994	0.0	64.5142	36.2375	12.4956	141.9269	90.6872	42.4757	116.487	7.4991	7.2746	41.4073	127.0614	5.8247	101.725	42.4854	21.8913	11.6727	7.499	30.8007	8.3238	18.6192	1.6749	0.0	2.4998	34.0312	2.8539
PWY-6969	5680.8444	8672.2862	35781.2093	24949.9312	18325.39	13492.0859	33681.9772	52730.4121	22493.3745	25208.3904	26693.6905	32510.2275	27246.1494	14367.7602	24323.759	38386.575	26159.6095	41368.6565	19860.6997	16038.7879	14965.927	25897.3016	65616.5478	12114.1005	27587.5012	15412.6753	21363.9123	32738.5461	1311.1105	27983.1085	30268.9269	31325.0963	6871.1191	13338.0121	12316.3206	30415.6122	11668.366	17011.1353	213.6733	9435.6828	25564.5702	15660.2976	17351.9043	12089.1032	7015.1784	31726.6552	23167.8877	29627.1187	27973.0051	29062.7982	6570.0303	15621.9793	11719.8517	11162.7144	28604.8945	7091.4995	18663.1575	28868.4114	11908.1793	17328.7732	20634.1908	31608.1855	12817.5382	38823.7491	8990.855	77299.9206	106957.2132	15151.1155	29022.5399	17448.5849	11710.0476	10363.1742	18345.4948	14755.1428	15233.8596	65525.603	22753.0047	15466.357	27626.4309	13966.5633	24036.0028	20465.9296	43808.8817	87126.3604	22486.6113	62061.4164	22209.9788	44533.5093	57682.3631	25145.1326	68045.068	68725.7868	24062.8331	120696.9506	72278.0694	101649.5536	91768.9081	31447.8186	127007.5719	75622.7503	74432.8883	105857.1063	31692.0832	87100.1532	32371.1677	36663.98	37062.8269	27032.7936	17461.9985	32703.2516	43859.4102	20780.1508	18963.5426	20377.1239	17718.1284
PWY-7003	502.6006	1067.3692	10458.7143	5213.8791	1443.5921	16350.0293	7075.5626	7763.3656	9652.1138	2948.7884	2581.3182	2563.7719	2142.5711	732.4489	2435.0916	2681.8183	2062.696	2347.6468	5416.1195	1193.377	669.283	2636.726	2146.5533	994.6731	4251.4581	1001.1641	1651.2908	3172.12	0.0	887.8835	2290.2815	1446.4032	3022.5181	2332.2343	538.7369	5969.2674	694.1957	1264.6915	21.5734	3662.1955	2701.0601	4809.923	2564.7605	1076.6086	928.512	12097.317	4833.3282	4992.6152	2493.5272	5142.2187	456.6894	2832.1191	1789.5598	1108.4648	4974.0237	1800.3346	5120.7235	9080.2243	5352.8564	1021.4013	4727.7306	3932.4332	13362.6215	16257.5654	4603.7877	13582.6263	25275.8492	2855.151	4008.7633	1411.0123	520.7025	4127.2439	1522.7078	9205.2664	2540.5005	22691.579	4440.1815	4390.3821	2598.0638	2313.6075	3920.1023	1473.9682	8205.1516	46035.7255	4014.9721	6546.7929	2614.1138	3839.6079	16804.7858	2902.474	7948.5847	17013.2593	1800.5838	6480.0339	19590.0542	11840.9916	9711.7653	20559.7187	15401.8375	8267.9766	20327.9215	18270.2998	2959.2384	1379.9782	19771.1696	7538.2702	5309.4406	4970.2905	1768.8489	8641.4538	2909.5469	5234.522	2088.2922	1951.2019	1446.2996
PWY-7013	1832.7331	2949.6655	12474.8097	10162.9628	6608.1039	15430.249	21477.5989	24077.64	8965.823	14180.9759	7973.6987	10126.7723	4857.7948	6591.8842	7331.9744	11709.8302	9465.1059	15577.5434	6288.6477	5059.1826	4065.0018	4586.6045	16623.4516	6245.334	6563.8279	2339.5191	8087.372	7554.9053	37.6719	4024.0572	5355.2658	4871.41	1928.4139	4758.0174	4632.4273	12579.4934	2010.1692	4572.3672	29.4628	5606.6352	14586.1221	7002.8099	5477.482	4186.7101	1238.9017	13039.791	8331.7211	7530.2607	13552.9151	12742.1481	2308.0161	7923.8791	2942.4772	4235.7423	3768.9025	1692.4796	4655.5044	7862.8399	5136.8451	3616.7793	8665.5387	4729.0891	5511.5587	10152.4572	2065.7963	20880.4615	27246.9053	7598.4194	6249.6669	4129.382	4400.1134	2287.2154	3893.4111	2968.0825	3186.7054	9615.7665	6730.8689	4394.7087	6545.2816	3777.2766	9243.4057	8504.1082	7028.312	23829.6833	6033.073	17493.5817	3273.5117	10175.364	13989.189	9736.786	26353.4154	22684.1025	5718.8444	26910.1257	9210.0065	37648.7018	15917.1874	15414.8839	28415.1299	10796.703	28223.3673	50121.3654	11786.8299	81040.3816	15234.3483	13024.5012	9648.9522	11538.2727	7141.6003	12293.844	13462.0071	10051.3471	8926.2776	6859.4616	5273.741
PWY-7090	107.8392	176.4962	755.2501	565.0068	322.8749	86.7651	974.2568	800.7659	382.2816	712.1604	950.725	584.597	214.5391	279.1688	429.9862	442.8088	527.7818	617.3887	387.8124	244.7874	271.6226	472.2296	952.7491	296.19	295.7147	273.2393	539.241	610.2756	0.7353	329.3775	572.0297	335.6222	145.2909	241.3056	150.0503	643.3265	194.9104	406.8082	1.5441	257.7789	553.9061	234.7561	306.6833	166.4561	93.1812	566.6599	552.65	781.2248	476.938	261.209	132.3064	194.4021	199.9638	221.632	493.0224	93.4552	309.9244	749.9693	171.0479	408.6647	271.8038	381.6804	367.176	960.0662	118.4704	1213.5188	756.7357	291.5312	304.8854	198.0516	202.8634	34.2275	148.5525	277.8571	181.8688	1134.0816	389.7555	188.8399	323.2037	319.3798	459.4577	603.2407	753.3032	1796.2258	318.1796	784.6321	327.9441	1028.6017	448.4745	500.4677	978.0332	716.7395	327.4255	1806.5664	617.2052	1662.0219	695.7803	690.0581	1429.9213	1077.2666	710.0022	1836.4853	537.9323	1003.9521	558.2752	715.4589	725.5495	563.5671	261.9517	571.5711	898.4045	237.1352	369.6427	409.4881	257.3314
PWY-7094	20.6477	83.5059	660.9689	94.7118	86.8383	8.9919	158.6429	86.5844	38.7743	106.836	308.2121	56.5346	49.1867	17.9297	622.3767	112.5114	20.9344	183.1393	85.0987	96.4401	180.3275	677.508	174.2939	50.4537	724.1918	114.3919	50.5231	250.025	887.5199	55.8309	59.1199	93.4161	63.2779	23.8238	26.7986	518.2357	26.4696	213.5912	25.9095	35.6793	95.1229	73.941	59.1444	0.0	26.2738	2569.7353	143.5228	409.3134	179.7766	483.1	17.7996	17.9445	77.94	44.3328	14.9137	32.0713	119.4206	237.9586	193.646	49.7494	17.9505	32.7515	87.7513	164.2312	93.6874	1067.9453	101.5085	8.9811	186.5147	23.7963	240.0931	4513.589	70.1301	291.0938	66.9212	308.4416	8.9826	140.3804	83.9586	70.0116	149.4941	94.4873	4399.6231	274.3878	79.4559	151.0965	116.8355	80.1201	501.8637	11.9794	44.8956	386.2784	67.8123	139.9818	933.5286	1268.8209	200.3922	62.5962	776.383	246.5672	116.3377	596.441	424.8148	80.8981	591.52	478.291	155.2658	213.4043	62.1812	1513.022	2.999	132.4731	286.8059	316.3555	11.961
PWY-7111	12063.5729	15659.9082	64266.122	55444.4481	36290.1085	168880.6077	128165.1406	103783.1642	53264.1611	91705.2604	54513.1218	85562.0369	56291.2052	34483.8141	48430.3573	61856.3001	51191.6028	66401.0497	44725.7966	27690.7281	32493.6299	43633.2481	114672.3286	32027.5898	52176.6133	26494.8239	53020.0405	81542.4555	2058.0363	50366.7636	71035.8681	43601.8566	18198.0915	29880.0749	21204.6279	62403.7805	19808.1621	27374.1318	722.6485	21628.6186	55955.3986	46046.0147	31183.7253	24553.9093	14934.08	56756.6513	51372.8721	62740.1146	46146.0161	64486.6688	13478.1346	31799.0069	27551.1885	24958.4484	54293.6255	18639.3443	45682.2529	45588.1844	26064.7217	31682.6551	37230.1372	49141.4542	39061.9319	74617.7304	15297.7524	120467.4796	161406.271	42396.683	48164.3851	36007.0209	18870.8487	17669.6254	34653.9997	28621.7327	25633.8515	121354.7213	47352.5843	31156.2084	56053.6183	28219.1479	42524.6512	45773.7731	113285.3921	171336.0151	43740.5254	112571.1424	32735.9708	66713.9962	94138.4326	45059.0646	136937.8704	133707.1172	40639.5367	165214.9946	105779.7788	148458.0032	136154.884	93639.5411	207617.1896	137617.1227	131682.0789	187777.8321	68947.5835	196347.933	81451.5949	78376.1659	70279.8351	54793.8622	50932.2823	86880.4744	65167.9041	47751.6532	34698.827	38472.4131	42375.7187
PWY-7159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	205.8491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-7184	1752.6934	2682.8554	12473.0211	9038.7072	5458.2857	9655.7873	11176.1802	14571.5768	7156.4502	6646.3027	8167.9446	8714.6024	11044.6716	3312.6565	6749.9805	11745.0317	7783.5066	11537.0878	4848.2428	4601.4444	3132.2984	7347.5785	16982.6638	2237.9994	6682.2777	4751.3363	5248.2145	9003.0684	1187.5839	6491.3941	7345.6036	12787.8516	2710.9513	4310.0648	3245.7566	10341.0573	3939.909	5321.8133	97.0105	3782.7063	8518.9245	4634.6899	6145.9218	3655.8875	2242.4428	15884.1086	7736.6613	8831.6008	8678.2208	8716.6383	1639.3121	6861.6464	3447.7968	3654.4116	9278.0253	1943.9518	6645.8538	13109.3185	6385.6729	4586.3675	7651.6153	13480.4023	10364.0628	15661.101	4816.0812	35315.2449	38576.6079	4360.6969	12290.2751	5419.1055	3415.4865	5486.2177	5510.5762	6918.9123	4966.0296	29675.3517	9481.5056	4558.6475	8774.4777	4131.9695	8178.8751	4700.8604	19748.7711	46109.0165	5543.0621	13892.3663	6697.8271	13272.5756	15508.269	7285.6061	16322.1447	19502.6383	7919.6383	43083.6743	27880.4278	37601.0643	30057.4247	11524.4988	44045.2684	22731.4096	26913.4209	43385.0852	9074.555	19172.1637	17587.7438	11204.7632	10566.785	9876.4382	4200.6705	20210.5892	17154.4236	7285.1807	6224.3686	6942.7431	4216.146
PWY-7187	3010.8681	4420.718	20284.2184	15115.9035	9165.9321	17867.4221	20620.7891	25164.8381	12314.2902	12827.8093	14003.4955	15089.5246	16902.2544	6195.9696	11701.8892	19290.8284	12732.3959	19190.8918	8837.552	7667.2886	5861.2447	14595.0153	33487.6089	4909.4236	11885.4812	7794.5975	9669.6272	16023.8536	1189.0954	16917.2724	13282.8051	17527.6309	4638.9045	7560.7872	6309.0164	17560.3414	5997.7204	8499.6491	186.9152	6344.2094	14658.7552	8524.4324	9840.7657	6277.6046	4078.8401	22729.4558	12850.9537	15337.8581	14168.9679	15350.7405	3596.5995	10662.3556	6013.9789	6143.1165	15055.3409	3520.6684	11665.4554	18723.4357	9372.9109	7770.7424	12204.0935	17765.4828	14892.5563	23700.2461	6176.3187	49255.1828	57251.8651	8093.8572	17363.8712	9044.5748	5549.7198	7205.9954	9198.1213	10481.5711	7799.9412	45121.6549	14174.8613	7850.5222	14750.6747	6926.0921	13392.4397	8709.8548	31126.5602	66753.2434	9743.7367	24764.5897	10300.1775	21634.4644	26051.1134	12352.4911	29526.4527	34128.8776	12537.311	62137.674	40232.0892	55208.7705	45827.0167	19762.4071	70572.2333	40504.3777	43052.4036	64471.5145	15815.9225	36438.2924	27246.893	19186.8249	17582.548	15313.0649	10741.4717	30143.0424	25170.1193	12095.205	10320.5249	11217.4817	7769.1598
PWY-7196	2594.4075	3971.0814	18272.8538	13521.9917	8273.6801	14628.8257	16688.1245	21455.9514	10771.7378	9851.036	12071.6153	13185.155	16401.3108	4956.315	9898.8974	17743.3884	11728.9157	16936.8278	7157.276	6884.7069	4559.6506	11024.1115	25554.2265	3293.9095	9855.6094	6997.8943	7734.2699	13340.0724	1603.7109	9883.1995	10969.5534	18978.6994	3959.7791	6284.0445	4919.967	15176.6695	5998.6896	7868.1736	146.0398	5579.6293	12815.7553	6915.9172	9098.5341	5348.5854	3436.4982	22590.7064	11534.2554	13084.3404	12702.2486	12903.5163	2476.6982	10074.4418	5160.1721	5612.2176	14113.1039	2910.1676	9730.1492	19128.2435	9205.3353	6863.8792	11302.9653	20616.5085	14862.6761	23288.0485	7067.6639	50717.8568	57044.6781	6412.3124	18413.1122	8110.8113	5028.7158	7679.3537	8255.3157	10020.9338	7334.1152	42881.1891	14368.4998	6722.3624	13296.971	6180.181	11963.4995	6999.0269	29252.6187	67037.4631	8171.9771	20341.7456	10105.4434	19340.8863	22778.0282	10727.0028	23935.6702	28505.3843	11950.56	65585.6583	40780.7073	54880.005	44956.1283	17078.399	63959.4187	35875.539	39412.6953	64123.6654	13455.4397	27740.9493	25730.0486	16652.8877	15881.1367	15074.0976	6369.5384	28867.4943	25054.5308	10758.7751	9266.2506	10386.5025	6211.4028
PWY-7197	1596.8137	2438.2968	11364.4682	8323.4544	4951.3554	8537.1326	10095.2945	13218.8784	6519.1771	6016.0824	7471.5139	7794.6093	9987.552	3015.5093	6135.5141	10619.1574	7055.7697	10508.7678	4408.6637	4190.3939	2838.725	6705.6306	15504.947	2016.006	6109.6936	4352.365	4749.9259	8067.6001	1423.1733	5869.1173	6619.6545	11406.5087	2468.0753	3927.6998	2965.674	9544.8683	3540.5178	4847.5246	95.4053	3497.8658	7827.3173	4221.5961	5591.0351	3328.2617	2049.5931	14739.2389	7038.06	8084.2841	7911.1414	7986.8219	1502.6385	6223.2448	3120.7549	3338.332	8446.8095	1762.6259	6050.5665	11972.0064	5813.7923	4150.4926	7060.8113	11948.559	9624.776	14095.5488	4252.5822	31858.227	34324.1095	3970.61	11092.3312	4905.1359	3078.5143	5097.3647	5019.9307	6465.5026	4496.5203	27479.6178	8462.6568	4149.0859	8020.895	3729.8575	7546.4798	4291.7785	17619.7892	42219.888	5038.0628	12567.825	6058.436	12100.8338	14110.6281	6662.1504	14886.6546	17825.6949	7187.1017	39075.3397	25155.2771	34070.3872	27356.0838	10439.3168	40714.3525	20228.2856	24703.2649	39173.0722	8240.6372	17407.0254	16176.8494	10215.0088	9566.768	8904.2347	3787.7049	18148.067	15513.3967	6576.0026	5719.4975	6347.6612	3814.9379
PWY-7198	3.4953	0.0	258.7804	327.6733	753.9689	4334.6605	2336.8291	4388.9591	31.4056	45.294	59.2081	726.0418	38.407	434.2298	134.6615	31.4414	6.9957	204.0288	24.4175	262.369	20.9074	13.9817	38.4406	175.8471	76.4111	13.972	2666.9736	62.7041	17.3192	20.9536	2356.0043	292.6818	20.8905	163.7154	31.2925	278.3432	1253.2846	373.1449	0.0	241.1005	0.0	448.3689	0.0	911.28	81.8825	293.7106	1344.1203	24.4542	52.2846	69.6238	20.8198	10.4889	571.4529	24.3872	162.5058	0.0	17.469	13.9896	847.959	887.2241	45.3151	38.4198	0.0	90.6318	927.5803	104.7818	97.8259	1323.3158	3.4993	24.4244	3.4975	0.0	427.5195	38.3539	96.6845	1158.3017	505.1942	20.9348	24.4532	1679.6899	141.8138	1355.9874	201.5623	122.2734	1272.617	118.3216	318.1099	17.4843	13.9915	31.408	7519.5129	8420.3312	372.4643	4544.1162	20.9889	73.4001	115.1923	55.8151	16850.3086	108.1314	108.2012	62.9359	3.4991	62.8637	52.3921	20.9733	13.9873	5083.2489	516.7259	115.0426	52.3881	4668.5279	314.2719	41.826	41.7225
PWY-7199	6475.4627	9083.4084	39381.2723	26996.0959	18325.9371	40526.4354	49349.6134	56520.7784	24100.5909	39621.0819	30447.2213	34535.0963	29137.5584	18222.1978	27042.5671	36407.4917	25508.4771	43615.1886	24112.2233	16883.5218	18424.8354	24344.3403	62304.4857	15717.5322	30641.3681	15601.8326	24720.904	44332.511	1203.7166	26206.8906	34516.6294	31506.067	9302.0215	18066.1077	12163.3431	34662.2311	10906.8746	16849.2463	450.7158	12019.333	28719.5921	21887.5233	18554.3873	13524.9805	6369.9967	33583.7189	25693.5039	33625.6427	28623.6374	33809.447	7037.6043	18741.8095	13702.2595	12234.7372	29947.7483	7185.011	27190.7702	29792.4884	14206.354	18023.3855	20359.0566	27326.0747	19636.1402	43039.2762	9454.5527	78922.3207	112232.3451	21300.9701	27110.2472	18145.0317	12354.8997	9031.1658	18041.3495	16849.4631	14967.9088	76663.3456	23521.4725	17617.6371	29235.2018	15190.5311	25668.0616	23342.7596	53918.8325	104790.0781	23849.8052	68286.2801	20420.5394	41984.7657	61942.2052	26413.2974	79431.6127	83993.9506	24500.469	110499.7868	70699.2252	97746.3653	86331.3234	39517.7003	125670.5502	64983.1798	80280.9283	111867.7984	35335.1289	119065.8321	42737.802	40619.0271	36075.4326	27321.1714	20973.3297	45876.2532	43321.2871	24645.5655	19870.0866	21255.0956	21494.5071
PWY-7200	2289.7901	3456.3839	15886.0298	11376.9827	6945.8287	12291.0406	14751.9429	19145.6993	9097.2581	9194.01	10739.3552	11259.9303	13344.5127	4574.9195	8927.0024	14811.9372	9885.4928	15245.728	6626.3465	6010.9008	4370.2033	9466.9661	22189.9655	3155.3534	9094.7603	6104.9449	7048.6143	12121.3135	1310.7897	8540.9989	9817.8528	15343.2039	3497.6309	5789.5402	4251.8361	13423.7639	4806.5584	6797.664	143.0749	4874.5443	10931.7716	6263.8331	7737.3683	4793.7545	2752.3064	18910.7485	9892.8154	11627.5726	11174.1089	11512.608	2198.2941	8411.4818	4522.2154	4665.4915	11773.5116	2495.8572	8863.806	15646.0572	7536.5068	6020.6288	9435.5444	15169.6602	11870.439	19229.9662	5383.2574	41689.7063	47777.9937	5931.7372	14252.5289	6878.826	4432.4833	6047.8491	7003.921	8556.1297	6242.0581	36939.7292	11161.3734	5997.3054	11195.9271	5345.3584	10524.7422	6425.1366	23667.446	55195.9376	7421.7052	18940.2185	8437.7726	16960.6209	20631.5943	9547.194	22334.3924	26327.2825	9973.1008	52419.7078	33911.075	46193.1147	37735.0636	14711.9508	55713.4174	27590.0453	34119.5453	52792.4204	11905.8413	27037.2766	21305.1712	14585.0879	13505.179	12025.3933	5636.3345	23679.5663	20810.9843	9291.2968	7969.8692	8776.7508	5746.9335
PWY-7208	11246.2398	14902.5618	64389.95	52683.927	35983.3803	137848.62	113681.9694	95168.5245	50777.5791	83173.074	51189.7945	73229.5493	50815.6843	33724.0587	44316.3807	65218.2428	45094.2953	64692.7649	43081.7056	26752.8261	30420.0289	43943.4566	114227.7354	30341.8684	49611.3207	25759.9198	49673.5237	78172.1764	1930.7731	51553.5472	68070.9945	43478.8646	17200.7378	29714.392	22308.5676	58571.3978	18831.768	26547.3671	552.0142	20394.5819	54229.545	42697.6195	30274.4443	23976.6259	14690.0901	52476.8154	46275.8243	58949.0111	43998.7465	61198.3026	13839.7115	30393.3444	25606.4436	23233.0282	53155.9372	16940.7838	47181.9438	45918.5069	23467.9237	30815.4097	35536.1353	43978.7922	34685.3864	70115.9763	14360.5507	117368.6867	163293.0539	39448.5465	44527.4636	33180.5926	18510.4802	14851.1723	32936.5674	27170.4554	24136.5592	119346.6681	42774.7093	29447.8782	53526.1187	26621.009	40366.1311	44710.4477	102453.7113	163199.3472	40842.2592	108872.3953	33266.1383	70262.5718	96197.602	42778.5267	130824.1024	133842.5365	40540.945	173835.6023	106528.9233	144125.4314	138627.5309	77927.9825	213047.2671	132574.449	133641.4363	172428.7792	62911.8622	179800.6191	75422.8147	71647.065	65957.6534	50509.9079	50268.0918	83145.9003	65471.4009	44878.8401	32611.6878	35860.9076	39347.3345
PWY-7210	4.9871	0.0	365.099	457.9464	991.622	4852.2092	2947.7914	5288.1748	44.7433	64.4271	84.2082	985.2549	54.7508	572.9372	190.0428	44.8433	9.9883	288.3617	34.7733	362.0443	29.744	19.9509	54.8386	239.3093	108.3921	19.9245	3020.0587	89.1852	24.6687	29.8736	2798.9424	412.4618	29.7033	228.5508	44.4379	391.2619	1496.1096	511.3382	0.0	331.6045	0.0	603.8466	0.0	1130.2026	114.3868	415.1996	1735.3687	34.8751	74.4207	98.974	29.5089	14.9703	739.5738	34.6934	229.6543	0.0	24.9154	19.9726	1123.3079	1131.5781	64.5054	54.7911	0.0	129.0203	1191.59	149.4282	139.5347	1589.7684	4.9981	34.7946	4.9934	0.0	582.7986	54.6165	136.5133	1617.8652	698.623	29.8224	34.8726	1916.0989	200.5023	1641.2069	286.1286	174.4034	1592.6711	168.1445	441.6917	24.9579	19.9768	44.7506	8455.4624	9518.9972	517.1136	6104.0163	29.9708	104.736	164.182	79.4972	19639.5971	154.0141	154.2022	89.8299	4.9975	89.6228	74.7128	29.9272	19.9654	5590.4042	684.3529	163.7912	74.7044	5276.0851	435.4887	59.5316	59.2362
PWY-7211	2357.7851	3462.7233	15757.8673	11142.7171	6647.5911	8569.5834	14949.2685	19234.1213	9307.989	9552.9666	11060.5759	10574.3855	13592.3205	4638.6732	9305.7079	15002.1762	9260.4126	15893.1734	6987.0506	6215.9228	4619.1866	10143.4892	23285.9012	3320.3072	9615.6474	6549.0333	7418.0902	12881.2494	1284.0081	9064.6533	10285.4032	16054.5166	3580.0546	5857.7788	4385.2997	13925.3094	4942.6843	7035.8799	125.757	4885.6302	10337.57	6416.6086	7623.8044	4945.3676	2928.4826	19697.0558	9463.0916	12328.9962	11420.0852	12073.1501	2285.8034	7833.9244	4488.6674	4007.0219	11989.2788	2614.4552	9037.5073	15753.106	6767.5661	6341.6184	9806.8934	11603.2545	10026.277	17424.5928	5214.4848	40827.1508	45640.165	6119.6255	13814.6431	7270.3606	4610.4831	6889.8574	7341.8738	8949.0322	6478.5943	39115.3728	9128.6669	6299.4489	11469.3055	5487.865	10970.2085	6718.5026	23849.093	52522.9304	7834.5762	19906.3223	8790.5309	17590.7188	21713.5504	9724.5747	23476.3915	27517.6626	10433.5081	52615.5211	33695.7052	44550.5766	38486.8155	12798.4643	59000.2978	23588.1858	34933.6476	42834.4441	12066.3045	27112.8876	19607.9697	15041.2552	12056.5937	11169.1749	5648.9673	19833.8679	19888.4212	8840.8957	7642.0967	9016.5537	6068.0242
PWY-7219	11428.5392	15193.513	64955.9522	53374.481	36692.3967	139977.0151	114725.3016	97238.5759	51902.1414	84919.6197	51953.9704	74434.5502	50510.6679	34465.0426	44633.1448	66309.6682	46038.2824	65557.2133	43682.0548	27316.0947	30715.7917	44956.4071	116424.9487	30955.2633	49932.416	25898.8712	50743.9476	78966.5155	1828.3797	52462.8434	69130.7173	44222.2478	16768.9868	29223.3716	22809.6983	59050.2941	19140.4354	26974.0083	587.7045	20555.7684	55694.5044	43647.4984	30706.1258	23924.7222	14949.0204	51621.568	46783.1493	59649.2636	44836.6507	61789.5479	14104.2334	30767.2771	26005.1587	23703.185	53872.3069	17291.5273	45931.9998	46027.2474	23063.0953	31454.8155	36047.9553	44712.5876	33760.6796	70367.5715	14504.6334	116503.9056	163362.1411	39738.6597	45256.3536	33923.7821	18809.7719	14702.1266	33551.3768	26812.7384	24521.8173	116973.04	43009.4542	29788.2059	54506.886	27083.8186	40706.6684	45514.7537	102497.4363	160900.2255	41735.7934	110259.9123	33575.3081	70560.0338	96662.9839	43443.1706	132344.0322	132934.9861	41276.0266	176372.7699	106489.2505	145065.5472	138488.7792	78566.113	208190.8973	134850.753	132676.8001	173900.8083	63992.1575	183732.6223	74610.0182	72659.4149	66667.2553	51419.3722	51545.0235	80010.0271	66047.2284	44387.4024	33392.1129	36366.8415	40015.101
PWY-7220	7975.2189	11169.2984	50379.7227	34357.9313	22615.7236	70549.8586	64961.9167	72597.639	31525.728	44491.5804	35410.8291	46712.8548	39610.0243	17676.058	33674.4896	48039.3699	31409.3724	50060.0589	28621.533	17692.8367	22879.8107	31562.1998	72891.0548	18773.5589	33332.8988	19254.3247	34196.2205	55170.4572	1765.5469	31156.6475	42257.2648	38539.5569	12893.1456	21901.8168	13077.101	42975.4416	14151.4303	20584.9703	248.2222	14009.8086	31916.4181	24401.4316	22827.6782	19083.7416	8499.3792	45918.8219	33465.3596	39889.7562	35180.8911	40134.3423	7457.5779	24755.0139	16614.3556	12861.0723	33318.2515	10090.4903	32835.9756	39169.7316	20609.7055	21223.8116	25494.108	36732.3797	29642.3575	56409.5893	15545.5486	107483.485	138646.0281	25489.7878	36792.8669	23100.2984	14664.424	13635.7045	22291.6824	22084.5321	20278.2423	100064.3919	32078.6147	21110.2976	31803.1486	19142.0365	30522.7802	25639.8392	80193.4527	134310.3902	30113.0757	83401.6918	24483.9729	59939.1615	73805.06	30599.294	92940.2325	99924.9321	27808.983	126870.3129	97590.7181	129148.9779	104018.2254	55345.744	171171.9786	83291.0443	102852.5409	144349.1764	43836.9534	136256.5448	58411.1926	48815.2188	44225.6467	36659.6016	23494.0703	78357.2681	57538.1217	36029.0624	22034.1791	25457.5942	26895.5066
